,Stock,CurrentPrice,PriceBeforeConsolidation,PriceDiff,Breakout_Reversal
166,NDAQ,209.94,201.72,3.214662700316663,breakout
165,MTD,1534.17,1469.75,3.2123171751628203,breakout
91,FE,39.08,37.75,3.205128205128205,breakout
136,KO,55.91,54.12,3.2015739581470206,breakout
93,FITB,44.2,45.49,3.198729582577141,reversal
219,TGT,253.8,245.71,3.1875492513790395,breakout
203,RMD,262.53,262.91,3.178839135041805,reversal
171,NOW,684.93,663.18,3.1755069861153693,breakout
69,DE,353.52,342.31,3.1709662819642395,breakout
177,OMC,69.14,70.96,3.1395348837209256,reversal
168,NI,25.29,24.3,3.110047846889943,breakout
138,L,57.17,55.27,3.1030855539971878,breakout
34,BMY,59.44,57.6,3.0792529025744546,breakout
164,MSI,252.04,239.83,3.0754930488199097,breakout
74,DUK,98.99,102.01,3.0508132134559154,reversal
40,CBOE,129.49,125.54,3.050428604525448,breakout
33,BKR,24.34,25.08,3.0402629416598126,reversal
61,CSX,35.54,34.16,3.0371842179960273,breakout
22,AVB,243.9,230.63,3.0314497140935117,breakout
48,CL,77.58,78.8,1.5725702500644483,reversal
